      1            2                3                   4                      5                         6                            7                               8                                  9                                     10                                       11                                          12                                             13                                                14                                                    15                                                       16                                                          17                                                             18                                                                19                                                                   20
  79  Z/80         Z/80 + Z/80      Z/493040            Z/6240 + Z/6240        Z/3077056400              Z/493040 + Z/493040          Z/19203908986160                Z/38950080 + Z/38950080            Z/119851595982618320                  Z/3077056400 + Z/3077056400              Z/747993810527520928880                     Z/243087455520 + Z/243087455520                Z/4668229371502258117133840                       Z/19203908986160 + Z/19203908986160                   Z/29134419507545592909032289200                          Z/1517108809906560 + Z/1517108809906560                     Z/181827912146592045345270516890960                            Z/119851595982618320 + Z/119851595982618320                       Z/1134787999706880954999833295916475120                              Z/9468276082626847200 + Z/9468276082626847200
  83  Z/84         Z/84 + Z/84      Z/571788            Z/6888 + Z/6888        Z/3939040644              Z/571788 + Z/571788          Z/27136050989628                Z/47458320 + Z/47458320            Z/186940255267540404                  Z/3939040644 + Z/3939040644              Z/1287831418538085836268                    Z/326940373368 + Z/326940373368                Z/8871870642308873326043364                       Z/27136050989628 + Z/27136050989628                   Z/61118316854865828343112727708                          Z/2252292232139040 + Z/2252292232139040                     Z/421044084813170691455703581173524                            Z/186940255267540404 + Z/186940255267540404                       Z/2900572700277932893438341970704399948                              Z/15516041187205853448 + Z/15516041187205853448
  89  Z/20 + Z/4   Z/200 + Z/40     Z/16060 + Z/44      Z/784400 + Z/80        Z/1396002100 + Z/4        Z/1129499800 + Z/440         Z/11057831412340 + Z/4          Z/8201226741600 + Z/480            Z/109077336498460 + Z/3212            Z/155908599692641000 + Z/200             Z/693793268438108731220 + Z/4               Z/21590070241639385200 + Z/11440               Z/5495536479325137545711860 + Z/4                 Z/48910274666011109608857800 + Z/40                   Z/3957285859340909271472838300 + Z/44                    Z/949554621640866629427153600 + Z/16320                     Z/344802274210231337005842512795540 + Z/4                      Z/3821594321881766965636069797400 + Z/32120                       Z/2731178814019242408395491920167890580 + Z/4                        Z/2430749144477125744809345486172882000 + Z/400
  97  Z/20 + Z/4   Z/1160 + Z/8     Z/228020 + Z/4      Z/368880 + Z/240       Z/2146858100 + Z/4        Z/104121684680 + Z/8         Z/20199575511380 + Z/4          Z/16327987016160 + Z/480           Z/190057765017840980 + Z/4            Z/9217801587272169800 + Z/8              Z/1788253507724924058740 + Z/4              Z/74128457371253809680 + Z/9360                Z/16825677254136652835924660 + Z/4                Z/816045346825741140948928520 + Z/8                   Z/158312797284196948644597550100 + Z/4                   Z/537687021588485259633199680 + Z/114240                    Z/1489565109647012807177664681045140 + Z/4                     Z/72243907817880122355177293828312840 + Z/8                       Z/14015318116668743749055645009883025460 + Z/4                       Z/4531619524389560478809834393564468400 + Z/1200
 101  Z/10 + Z/10  Z/520 + Z/20     Z/103090 + Z/10     Z/2601040 + Z/40       Z/210200050 + Z/50        Z/4082776360 + Z/260         Z/10721354851490 + Z/10         Z/45119028795360 + Z/240           Z/109368527104984810 + Z/10           Z/1104622125525362600 + Z/100            Z/1115668346684108296210 + Z/10             Z/35524118226077949520 + Z/31720               Z/11380932804330840780449690 + Z/10               Z/574737106618813027292545480 + Z/20                  Z/23219379107400013678998775450 + Z/50                   Z/14369836334849246638414772160 + Z/8160                    Z/1184304431372935484124624138578890 + Z/10                    Z/4600567214179480231910724739555240 + Z/260                      Z/12081089504435315095973270516635722610 + Z/10                      Z/61009501997398341224590473227645325200 + Z/200
 103  Z/104        Z/104 + Z/104    Z/1092728           Z/10608 + Z/10608      Z/11592740744             Z/1092728 + Z/1092728        Z/122987386542488               Z/112550880 + Z/112550880          Z/1304773183829244584                 Z/11592740744 + Z/11592740744            Z/13842338707244455781048                   Z/1194052296528 + Z/1194052296528              Z/146853371345156431381127624                     Z/122987386542488 + Z/122987386542488                 Z/1557967416600764580522382952408                        Z/12667700813876160 + Z/12667700813876160                   Z/16528476322717511434761960742085864                          Z/1304773183829244584 + Z/1304773183829244584                     Z/175350605307710078811389641512788920568                            Z/134391637934412192048 + Z/134391637934412192048
 107  Z/108        Z/108 + Z/108    Z/1225044           Z/11448 + Z/11448      Z/14025517308             Z/1225044 + Z/1225044        Z/160578147647844               Z/131079600 + Z/131079600          Z/1838459212420154508                 Z/14025517308 + Z/14025517308            Z/21048519522998348950644                   Z/1500730351848 + Z/1500730351848              Z/240984500018808097135911708                     Z/160578147647844 + Z/160578147647844                 Z/2759031540715333904109053133444                        Z/17181861798319200 + Z/17181861798319200                   Z/31588152109649857868144549324788908                          Z/1838459212420154508 + Z/1838459212420154508                     Z/361652753503381222732386945219508196244                            Z/196715135728956532248 + Z/196715135728956532248
 109  Z/58 + Z/2   Z/3016 + Z/4     Z/646642 + Z/2      Z/90480 + Z/1560       Z/7693243018 + Z/2        Z/419274913096 + Z/4         Z/91401943982722 + Z/2          Z/6386418785760 + Z/3120           Z/1085946640451481178 + Z/2           Z/59184091857307213576 + Z/4             Z/12902132026537381946002 + Z/2             Z/600996748244880021840 + Z/4680               Z/153290230607157190033434538 + Z/2               Z/288079916141054770693047464 + Z/116                 Z/1821241229843761830410873000482 + Z/2                  Z/3742746871285253476785716160 + Z/106080                   Z/21638167051773712732046545074623098 + Z/2                    Z/1179280104321667355455327532349393736 + Z/4                     Z/257083062742123483384182774339331450162 + Z/2                      Z/7185142009972169150509378915190660400 + Z/7800
 113  Z/16 + Z/8   Z/800 + Z/16     Z/180112 + Z/8      Z/145600 + Z/1120      Z/2303029136 + Z/8        Z/130121914400 + Z/16        Z/29407572146192 + Z/8          Z/3956018102400 + Z/6720           Z/375505242328285456 + Z/8            Z/347804035876004000 + Z/976             Z/4794826438216245949072 + Z/8              Z/297700762376002148800 + Z/14560              Z/61225138790208017269240976 + Z/8                Z/3459220341646704389583629600 + Z/16                 Z/781783797212161138523283156752 + Z/8                   Z/3093192194852035587636998400 + Z/228480                   Z/9982597306602077751100244446087696 + Z/8                     Z/564016747823017394641613360671911200 + Z/16                     Z/127467785008001931102879116442529017232 + Z/8                      Z/337326925196820098722386220206008000 + Z/341600
 127  Z/128        Z/128 + Z/128    Z/2048384           Z/16128 + Z/16128      Z/33038369408             Z/2048384 + Z/2048384        Z/532875860165504               Z/260144640 + Z/260144640          Z/8594754748609397888                 Z/33038369408 + Z/33038369408            Z/138624799340320978519424                  Z/4195872914688 + Z/4195872914688              Z/2235879388560037062539773568                    Z/532875860165504 + Z/532875860165504                 Z/36062498658084837781704007862144                       Z/67675234241018880 + Z/67675234241018880                   Z/581652040856250348581103942808504448                         Z/8594754748609397888 + Z/8594754748609397888                     Z/9381465766970461872264625493558368225664                           Z/1091533853073393531648 + Z/1091533853073393531648
